"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4367","Search for ""br"" returns 2 results","chromium","Tue Apr 28 15:56:45 UTC 2026","passed","Tue Apr 28 15:56:49 UTC 2026","GreenKart Search","greenkart/search.spec.ts","",""
"","4360","Search for non‑existing product shows no results","chromium","Tue Apr 28 15:56:54 UTC 2026","passed","Tue Apr 28 15:56:58 UTC 2026","GreenKart Search","greenkart/search.spec.ts","",""
"","5910","Add multiple products to cart and verify cart count","chromium","Tue Apr 28 15:56:27 UTC 2026","passed","Tue Apr 28 15:56:33 UTC 2026","GreenKart Cart","greenkart/cart.spec.ts","",""
"","4971","Handle confirm dialog","chromium","Tue Apr 28 15:55:55 UTC 2026","passed","Tue Apr 28 15:56:00 UTC 2026","Automation Practice - Alert & Confirm","automation-practice/alert-dialog.spec.ts","",""
"","6986","Complete checkout process for a single product","chromium","Tue Apr 28 15:56:33 UTC 2026","passed","Tue Apr 28 15:56:40 UTC 2026","GreenKart Checkout","greenkart/checkout.spec.ts","",""
"","2087","Select user role from dropdown and verify","chromium","Tue Apr 28 15:57:04 UTC 2026","passed","Tue Apr 28 15:57:07 UTC 2026","Login Practice - User Roles","login-practice/user-roles.spec.ts","",""
"","4139","Get table data and verify values","chromium","Tue Apr 28 15:56:17 UTC 2026","passed","Tue Apr 28 15:56:21 UTC 2026","Automation Practice - Table","automation-practice/table.spec.ts","",""
"","4721","Search for ""cu"" returns 2 results","chromium","Tue Apr 28 15:56:49 UTC 2026","passed","Tue Apr 28 15:56:54 UTC 2026","GreenKart Search","greenkart/search.spec.ts","",""
"","4681","Handle alert dialog","chromium","Tue Apr 28 15:55:47 UTC 2026","passed","Tue Apr 28 15:55:52 UTC 2026","Automation Practice - Alert & Confirm","automation-practice/alert-dialog.spec.ts","",""
"","4452","Select dropdown options","chromium","Tue Apr 28 15:56:00 UTC 2026","passed","Tue Apr 28 15:56:05 UTC 2026","Automation Practice - Dropdown","automation-practice/dropdown.spec.ts","",""
"","2147","Check terms checkbox","chromium","Tue Apr 28 15:57:02 UTC 2026","passed","Tue Apr 28 15:57:04 UTC 2026","Login Practice - Radio & Checkbox","login-practice/login.spec.ts","",""
"","4034","Check and uncheck checkboxes","chromium","Tue Apr 28 15:56:13 UTC 2026","passed","Tue Apr 28 15:56:17 UTC 2026","Automation Practice - Radio & Checkbox","automation-practice/radio-checkbox.spec.ts","",""
"","4446","Search for ""ca"" returns 4 results","chromium","Tue Apr 28 15:56:40 UTC 2026","passed","Tue Apr 28 15:56:45 UTC 2026","GreenKart Search","greenkart/search.spec.ts","",""
"","2093","Select user radio button","chromium","Tue Apr 28 15:57:00 UTC 2026","passed","Tue Apr 28 15:57:02 UTC 2026","Login Practice - Radio & Checkbox","login-practice/login.spec.ts","",""
"","4216","Interact with iframe","chromium","Tue Apr 28 15:56:05 UTC 2026","passed","Tue Apr 28 15:56:09 UTC 2026","Automation Practice - Iframe","automation-practice/iframe.spec.ts","",""
"","4442","Select radio buttons","chromium","Tue Apr 28 15:56:09 UTC 2026","passed","Tue Apr 28 15:56:13 UTC 2026","Automation Practice - Radio & Checkbox","automation-practice/radio-checkbox.spec.ts","",""
"","2027","Select admin radio button","chromium","Tue Apr 28 15:56:58 UTC 2026","passed","Tue Apr 28 15:57:00 UTC 2026","Login Practice - Radio & Checkbox","login-practice/login.spec.ts","",""
"","4337","Search on mobile returns correct results","chromium","Tue Apr 28 15:57:07 UTC 2026","passed","Tue Apr 28 15:57:11 UTC 2026","GreenKart Mobile Search","mobile/mobile-search.spec.ts","",""
"","5665","Add a single product to cart and verify","chromium","Tue Apr 28 15:56:22 UTC 2026","passed","Tue Apr 28 15:56:27 UTC 2026","GreenKart Cart","greenkart/cart.spec.ts","",""
